params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '1', 'b:a': '218k'}",223.546875,-3.676,-2.551,0.4382371219980996,-0.8435213424231376
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '214k', 'abr': 'True'}",85.5078125,-3.858,-3.508,0.34915715901297517,-1.342615521731007
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '0', 'b:a': '43k'}",56.4560546875,-3.846,-3.409,0.36061570001766086,-1.2379159574030585
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '46k'}",68.0,-3.855,-3.484,0.5099650669726543,-1.3120038867472439
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '1', 'aq': '9'}",103.837890625,-3.343,-1.721,0.45322832401143387,0.38408578283914774
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '1', 'b:a': '199k'}",267.828125,-3.53,-2.119,0.5584627260104753,-0.4466166309060085
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '1', 'b:a': '312k', 'abr': 'True'}",406.431640625,-2.59,-0.703,0.5438193249865435,1.9701316541330525
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '1', 'b:a': '32k'}",44.771484375,-3.292,-1.63,0.6375883899745531,0.612242916505593
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'b:a': '276k'}",357.828125,-3.173,-1.436,0.4709338230022695,0.46348896937397094
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'b:a': '32k', 'abr': 'True'}",43.61328125,-3.837,-3.347,0.6136020720296074,-1.195594290203438
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'b:a': '295k'}",91.484375,-3.858,-3.512,0.3796220290241763,-1.3556656911817906
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '0', 'b:a': '221k', 'abr': 'True'}",208.4609375,-3.661,-2.498,0.4530339219782036,-0.7688745569202353
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'b:a': '84k', 'abr': 'True'}",88.0625,-3.742,-2.811,0.35163689200999215,-0.8567279306207715
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'b:a': '127k', 'abr': 'True'}",185.5625,-3.323,-1.686,0.389455733995419,0.3160341335304686
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '1', 'b:a': '310k', 'abr': 'True'}",88.53125,-3.742,-2.811,0.42355103403679095,-0.8627912804188221
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '1', 'b:a': '220k'}",312.220703125,-2.596,-0.71,0.7159265430236701,2.0915519351027423
