params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'b:a': '272k', 'abr': 'True'}",219.1953125,-3.661,-2.499,0.7119828620052431,-0.805458141917317
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '1', 'b:a': '229k', 'abr': 'True'}",199.7890625,-3.659,-2.49,0.42671506098122336,-0.7459083069043988
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '0', 'b:a': '138k'}",178.953125,-3.28,-1.609,0.5122003889991902,0.4419856916542039
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '286k', 'abr': 'True'}",75.265625,-3.765,-2.917,0.4785164979984984,-0.9327136099068987
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '0', 'b:a': '148k', 'abr': 'True'}",89.09375,-3.858,-3.51,0.34824489199672826,-1.3489009638097667
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '0', 'aq': '9'}",54.40625,-3.776,-2.975,0.3413904959743377,-0.9332195683867731
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '170k', 'abr': 'True'}",169.0390625,-3.672,-2.538,0.8867624859849457,-0.7762762500780926
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '0', 'b:a': '126k', 'abr': 'True'}",149.10546875,-3.737,-2.79,0.5116865989984944,-0.9476874558832237
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '0', 'b:a': '230k', 'abr': 'True'}",333.21875,-3.481,-2.004,0.4311813020030968,-0.391105728087547
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '102k', 'abr': 'True'}",72.78125,-3.858,-3.505,0.4476080989697948,-1.32863861457058
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '1', 'b:a': '264k'}",357.078125,-3.508,-2.067,0.5404402750136796,-0.5200351360317376
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '1', 'b:a': '157k'}",90.8935546875,-3.848,-3.427,0.3788422580109909,-1.304551961905907
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'b:a': '246k', 'abr': 'True'}",223.35546875,-3.677,-2.554,0.36789756099460647,-0.841293235126199
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '0', 'aq': '9'}",54.40625,-3.776,-2.975,0.3361587399849668,-0.9328328741858771
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'aq': '9'}",119.6796875,-3.337,-1.711,0.43649769597686827,0.3771784084129531
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '5', 'reservoir': '1', 'b:a': '217k', 'abr': 'True'}",85.859375,-3.858,-3.509,0.34654518199386075,-1.3432988972098403
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'b:a': '242k', 'abr': 'True'}",91.484375,-3.858,-3.51,0.3396682419697754,-1.352081674528336
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",77.28125,-3.735,-2.784,0.38082729702000506,-0.8168552768575374
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '306k'}",90.640625,-3.761,-2.901,0.4864063020213507,-0.943463025572374
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '0', 'b:a': '236k'}",90.8935546875,-3.85,-3.442,0.3381860940135084,-1.310938699160346
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '0', 'b:a': '203k', 'abr': 'True'}",305.046875,-2.603,-0.718,0.5248917849967256,2.0982856575213087
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '1', 'b:a': '190k'}",90.640625,-3.742,-2.811,0.34815889902529307,-0.8605846849263799
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '1', 'b:a': '264k', 'abr': 'True'}",132.51171875,-3.74,-2.801,0.9223457949992735,-0.962022259972453
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '0', 'aq': '9'}",75.0888671875,-3.731,-2.763,0.41433579102158546,-0.79988930087798
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'b:a': '32k', 'abr': 'True'}",47.75,-3.856,-3.491,0.3691424819990061,-1.2738212210208837
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",103.81640625,-3.341,-1.719,0.45863269799156114,0.38901140429190983
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '0', 'b:a': '70k'}",90.28125,-3.848,-3.428,0.3929133420169819,-1.3049304218689517
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '216k', 'abr': 'True'}",169.1328125,-3.672,-2.536,0.902134036005009,-0.7769310824921127
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'aq': '9'}",69.9306640625,-3.731,-2.763,0.3862490089959465,-0.7895825635053628
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '0', 'b:a': '248k', 'abr': 'True'}",91.484375,-3.858,-3.51,0.34043938701506704,-1.3521386720866453
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '5', 'reservoir': '0', 'aq': '9'}",75.7998046875,-3.731,-2.762,0.37328644798253663,-0.7976741847315632
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",71.0234375,-3.724,-2.734,0.3644083520048298,-0.7642540986386304
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '1', 'aq': '9'}",49.765625,-3.769,-2.94,0.377939558995422,-0.9011655250103513
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '241k'}",91.484375,-3.857,-3.501,0.5062452939746436,-1.3592248022079112
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '1', 'b:a': '237k', 'abr': 'True'}",303.96875,-3.17,-1.431,0.4796388689719606,0.5573541582904697
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '152k', 'abr': 'True'}",195.265625,-3.242,-1.546,1.083618813980138,0.4821327435441319
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'aq': '9'}",109.1796875,-3.337,-1.711,0.4656794590118807,0.39177597837147615
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'b:a': '32k', 'abr': 'True'}",49.0322265625,-3.72,-2.719,0.3672961000120267,-0.7153253159967317
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '55k', 'abr': 'True'}",73.66015625,-3.837,-3.342,0.5850144900032319,-1.239848742376809
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",49.765625,-3.769,-2.94,0.3625521370267961,-0.9000281961949217
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '1', 'b:a': '194k', 'abr': 'True'}",266.515625,-3.53,-2.119,0.49128949103760533,-0.4395573532334144
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",121.0390625,-3.337,-1.711,0.4186840829788707,0.37632595744156566
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '1', 'b:a': '38k'}",56.328125,-3.767,-2.932,0.3735196469933726,-0.9041268425882567
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'b:a': '32k'}",44.771484375,-3.291,-1.629,0.3965135340113193,0.632706851875047
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '1', 'b:a': '137k', 'abr': 'True'}",168.5234375,-3.67,-2.529,0.41633285698480904,-0.7331836711083631
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",36.8515625,-3.855,-3.486,0.3360960599966347,-1.2500811836188246
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",69.9306640625,-3.731,-2.763,0.3888320049736649,-0.7897734802009333
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",50.375,-3.769,-2.94,0.3619674630172085,-0.9009573393697192
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",92.75,-3.54,-2.146,0.5041338379960507,-0.1950518136405592
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'b:a': '32k', 'abr': 'True'}",49.2734375,-3.404,-1.84,1.0118821890209801,0.2501948695994328
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '1', 'b:a': '32k'}",44.771484375,-3.133,-1.376,0.9894733340188395,1.0368206354705882
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '1', 'aq': '9'}",49.765625,-3.769,-2.94,0.4460392070177477,-0.9061989667509057
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '264k', 'abr': 'True'}",149.703125,-3.74,-2.805,0.623272011987865,-0.9686104047157154
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'aq': '9'}",55.625,-3.769,-2.94,0.4346604460151866,-0.9147075269580678
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '5', 'reservoir': '1', 'b:a': '260k'}",357.078125,-3.506,-2.063,0.541434578015469,-0.514186918531303
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '5', 'reservoir': '0', 'b:a': '217k', 'abr': 'True'}",90.078125,-3.858,-3.509,0.35344504300155677,-1.350540595934411
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'b:a': '272k', 'abr': 'True'}",219.1953125,-3.661,-2.499,0.38033917799475603,-0.7809453990387879
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '152k', 'abr': 'True'}",195.265625,-3.242,-1.546,1.0363320500182454,0.48562784489066896
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '268k'}",90.8935546875,-3.847,-3.42,0.45853264300967567,-1.3059039618086727
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'b:a': '32k', 'abr': 'True'}",47.75,-3.856,-3.491,0.3348266209650319,-1.2712848365856098
