params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '69k', 'abr': 'True'}",71.08203125,-3.845,-3.408,0.8033550040017872,-1.2913328554371146
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '1', 'b:a': '41k'}",55.8935546875,-3.305,-1.653,0.44970787100464804,0.5708378792564952
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '0', 'b:a': '101k', 'abr': 'True'}",86.609375,-3.756,-2.879,0.40595318600026076,-0.912494206200929
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",89.5859375,-3.514,-2.081,0.3824821099988185,-0.0999282200845362
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'b:a': '183k'}",223.546875,-3.676,-2.549,0.46088828099891543,-0.8445646382124167
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'b:a': '32k', 'abr': 'True'}",42.78125,-3.777,-2.982,0.3664522839972051,-0.921060503184265
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '1', 'b:a': '59k', 'abr': 'True'}",78.7578125,-3.826,-3.269,0.5072598670012667,-1.193578043176618
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",41.0703125,-3.85,-3.44,0.3783499790006317,-1.2337752269436848
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'b:a': '32k', 'abr': 'True'}",51.1953125,-3.437,-1.907,0.389106910002738,0.19513565990110335
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",81.7109375,-3.514,-2.081,0.3674266880007053,-0.08624957156330376
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",97.146484375,-3.315,-1.67,0.40230833099849406,0.47985330503949225
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'b:a': '123k', 'abr': 'True'}",135.509765625,-3.696,-2.623,0.6710723809992487,-0.7895649317157047
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'b:a': '208k', 'abr': 'True'}",315.1943359375,-2.616,-0.731,0.4692139409999072,2.0518188723711774
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",75.7490234375,-3.731,-2.763,0.4107374539999,-0.8006767253557441
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",47.0185546875,-3.841,-3.374,0.3580123050014663,-1.199973714743986
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",59.73828125,-3.818,-3.217,0.37581743499686127,-1.1184706204623005
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '1', 'b:a': '39k'}",56.4560546875,-3.835,-3.327,0.4990514269993582,-1.1966512362587691
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'b:a': '191k'}",224.375,-3.763,-2.911,0.39110483399781515,-1.1576286874546986
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",50.375,-3.768,-2.936,0.3547255220000807,-0.8968302951147405
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",109.203125,-3.336,-1.708,0.4976071920027607,0.39265502205289016
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",47.0693359375,-3.841,-3.373,0.35758096299832687,-1.1997074044452454
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",36.359375,-3.85,-3.441,0.34764452400486334,-1.22430408022219
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'aq': '9'}",119.6796875,-3.337,-1.711,0.445410810996691,0.3765196143298408
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '1', 'aq': '9'}",59.73828125,-3.818,-3.217,0.39735674999974435,-1.120062653466097
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '1', 'b:a': '237k'}",313.109375,-3.17,-1.432,0.515899427999102,0.5397732053979462
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '0', 'b:a': '142k', 'abr': 'True'}",198.81640625,-3.768,-2.936,0.37769509899953846,-1.1353907411327788
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '1', 'b:a': '170k', 'abr': 'True'}",234.640625,-3.191,-1.464,0.4021107789994858,0.6143700967134088
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",110.328125,-3.349,-1.733,0.40805057900070096,0.35930363529182346
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '1', 'b:a': '268k'}",223.671875,-3.66,-2.494,0.45252576599887107,-0.7895167807861178
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",76.203125,-3.735,-2.782,0.39589497400447726,-0.8156177296758064
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",70.8193359375,-3.731,-2.763,0.37701274800201645,-0.7903179070281438
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '0', 'b:a': '220k', 'abr': 'True'}",311.84375,-3.173,-1.435,0.7263975259993458,0.5182980070800607
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '1', 'b:a': '40k'}",56.01171875,-3.269,-1.59,0.7492781889995968,0.6522588631845961
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '1', 'b:a': '140k'}",90.546875,-3.754,-2.869,0.38312890799716115,-0.9092756675022842
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.3949194199994963,0.3734758285923144
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '157k', 'abr': 'True'}",197.4453125,-3.234,-1.533,1.0528077509989089,0.5036724900374409
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '5', 'reservoir': '1', 'b:a': '155k', 'abr': 'True'}",194.0234375,-3.658,-2.49,0.41239967299770797,-0.7333202736291715
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",74.3984375,-3.724,-2.735,0.34869420299583,-0.7687934469418359
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'b:a': '259k'}",90.640625,-3.761,-2.898,0.3553513799997745,-0.9328300024134081
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'b:a': '61k'}",89.796875,-3.823,-3.251,0.3840164899993397,-1.1894153455713246
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '1', 'b:a': '319k', 'abr': 'True'}",88.9599609375,-3.849,-3.438,0.35620066299816244,-1.3055930694194873
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'b:a': '191k', 'abr': 'True'}",259.4609375,-3.553,-2.179,0.4371136609988753,-0.49681222070955605
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'b:a': '97k'}",134.234375,-3.413,-1.857,0.49433493899778114,0.12654688770570596
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '239k'}",312.453125,-3.483,-2.009,0.43073778499820037,-0.36417514131883316
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '1', 'b:a': '178k'}",267.828125,-3.529,-2.118,0.540182194999943,-0.44262006779680335
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'b:a': '180k', 'abr': 'True'}",249.064453125,-2.636,-0.754,0.5518191590017523,2.09738009539734
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '1', 'b:a': '281k', 'abr': 'True'}",220.68359375,-3.766,-2.926,0.37892407800245564,-1.1625598159192423
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '0', 'b:a': '278k', 'abr': 'True'}",185.6796875,-3.668,-2.524,0.7363944219978293,-0.7779787993117632
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'b:a': '230k'}",313.109375,-3.179,-1.446,0.4246899410027254,0.5211289038538712
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '0', 'aq': '9'}",76.203125,-3.735,-2.782,0.3936740320023091,-0.8154535734356243
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",110.328125,-3.349,-1.733,0.4277427880006144,0.35784812722941195
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'b:a': '191k'}",90.640625,-3.761,-2.898,0.4279976500001794,-0.9381994981205773
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '0', 'aq': '9'}",119.6796875,-3.337,-1.711,0.45345658999940497,0.3759249275576822
