params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4706130640115589,0.36788109266739344
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.5515278160164598,0.3619004495657646
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.46653445399715565,0.3681825545175811
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.457615227001952,0.3688418003544527
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4223843779764138,0.37144581419578965
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.45770286399056204,0.3688353228514215
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.46479025098960847,0.3683114736012643
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.5960154540080111,0.35861223970700096
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.6481409449770581,0.3547594940671927
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4495836629939731,0.3694354364552801
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.45864144901861437,0.36876594932021456
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4257407169789076,0.37119773748289586
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4503977590065915,0.3693752642668807
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.44790557798114605,0.36955946856694377
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4257496270001866,0.37119707891748005
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.5331130419799592,0.36326153871923295
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4382826910004951,0.370270723946372
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.43257909500971437,0.3706922932050243
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4198329549981281,0.3716343972397505
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.3992956060101278,0.37315237204048135
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4142719460069202,0.37204542748129843
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.43130856700008735,0.37078620160105746
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4094834430143237,0.3723993595725451
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.4185975710279308,0.37172570803829036
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",97.1474609375,-3.314,-1.668,0.4775787109974772,0.4772491501684955
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.40302274297573604,0.37287688857881496
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.46283736202167347,0.36845581726722054
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",102.0546875,-3.349,-1.733,0.5796693539887201,0.3598204271869921
