params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '2', 'reservoir': '0', 'aq': '9'}",90.88671875,-3.54,-2.146,0.8623664639890194,-0.2185566500983012
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '253k'}",357.078125,-3.519,-2.093,0.8082584970106836,-0.5736615894345957
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'b:a': '133k', 'abr': 'True'}",178.4609375,-3.601,-2.31,0.6148235500149895,-0.5338605065426446
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '40k', 'abr': 'True'}",55.33203125,-3.678,-2.559,0.6977987749851309,-0.601475364467068
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '0', 'aq': '9'}",51.1103515625,-3.834,-3.322,0.4905916400020942,-1.1835887698024434
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'b:a': '77k', 'abr': 'True'}",71.28125,-3.768,-2.934,0.5861705770075787,-0.9466655142077928
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '0', 'b:a': '260k'}",91.484375,-3.858,-3.508,0.4659508419863414,-1.3607846695376677
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",112.5185546875,-3.341,-1.719,0.49840778001816943,0.3721858027905649
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '0', 'b:a': '300k'}",446.328125,-3.307,-1.657,0.46031349600525573,-0.05887034776922022
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '0', 'b:a': '196k'}",91.484375,-3.858,-3.509,0.4307598560117185,-1.3584990604979834
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '223k', 'abr': 'True'}",220.68359375,-3.766,-2.924,0.42892298998776823,-1.165624463145425
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '1', 'b:a': '269k'}",356.8115234375,-2.605,-0.72,0.5208731290185824,2.0106928780807634
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'b:a': '108k', 'abr': 'True'}",86.064453125,-3.848,-3.431,0.4570207739889156,-1.3038865690821657
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'b:a': '128k'}",91.203125,-3.858,-3.51,0.4025506000034511,-1.356280710621087
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",119.6796875,-3.337,-1.711,0.6614403290150221,0.36055224849516243
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '0', 'aq': '9'}",55.15625,-3.768,-2.936,0.4664737730345223,-0.9127192026184382
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '0', 'b:a': '47k'}",67.73046875,-3.85,-3.44,0.5193506430077832,-1.2867376611575625
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",69.9560546875,-3.731,-2.762,0.4501428850053344,-0.7940302009983029
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '1', 'b:a': '46k', 'abr': 'True'}",61.91796875,-3.798,-3.093,0.4525171789864544,-1.0419021709571816
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'aq': '9'}",109.203125,-3.336,-1.708,0.5256287640077062,0.3905838667053706
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",36.8515625,-3.855,-3.486,0.4347576680011116,-1.257373548122047
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '0', 'b:a': '311k', 'abr': 'True'}",205.6484375,-3.66,-2.496,0.7875545900315046,-0.7861512846394338
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'b:a': '75k', 'abr': 'True'}",114.01953125,-3.759,-2.892,0.4145009769999888,-0.9679541871609445
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",72.03125,-3.735,-2.782,0.6961257119837683,-0.8311517376703225
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'aq': '9'}",35.8671875,-3.85,-3.441,0.4030246729962528,-1.227612020865942
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'aq': '9'}",65.08203125,-3.818,-3.218,1.1179519619909115,-1.1821662187001523
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '1', 'b:a': '43k'}",56.6796875,-3.858,-3.51,0.9057456839946099,-1.3383854857801725
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'b:a': '32k'}",44.771484375,-3.302,-1.648,1.10708575299941,0.548563380197242
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '1', 'b:a': '221k', 'abr': 'True'}",81.4951171875,-3.848,-3.429,0.5299128440092318,-1.3013521881276653
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '0', 'b:a': '108k'}",90.359375,-3.74,-2.803,0.4035152730066329,-0.8570439108519537
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '0', 'aq': '9'}",75.0888671875,-3.731,-2.763,0.5960364280035719,-0.8133193199313915
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '1', 'b:a': '169k', 'abr': 'True'}",228.228515625,-2.681,-0.803,0.5908527800056618,2.0074375110340767
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '64k'}",89.328125,-3.673,-2.54,0.8507073159853462,-0.6493802411588621
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'b:a': '185k'}",268.390625,-3.178,-1.444,0.5016580739757046,0.589756948081327
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '0', 'b:a': '142k', 'abr': 'True'}",210.453125,-3.257,-1.57,0.5717407649790403,0.453212903492594
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '244k', 'abr': 'True'}",65.6796875,-3.857,-3.5,0.7519409130036365,-1.3358937903245884
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '166k'}",224.375,-3.739,-2.8,1.0230450970411766,-1.113402826688947
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '1', 'b:a': '161k', 'abr': 'True'}",199.7890625,-3.659,-2.49,0.5597259860078339,-0.755739528671642
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'aq': '9'}",61.7421875,-3.805,-3.135,0.5644141090160701,-1.0794511264448767
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '1', 'aq': '9'}",49.765625,-3.768,-2.936,0.6178683309699409,-0.9153075822844563
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '206k', 'abr': 'True'}",220.68359375,-3.766,-2.924,0.540310122014489,-1.1738574078960369
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",52.037109375,-3.834,-3.322,0.4660578540060669,-1.1832542014368295
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'b:a': '102k'}",133.853515625,-3.33,-1.697,0.7673070289893076,0.35083664151587224
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '256k'}",223.546875,-3.673,-2.541,0.8051458539848682,-0.8604962292906244
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '0', 'b:a': '108k', 'abr': 'True'}",89.65625,-3.858,-3.509,0.45919003698509187,-1.3576833429546193
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '195k', 'abr': 'True'}",268.076171875,-2.618,-0.735,0.642390195018379,2.1082819925410323
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",103.8740234375,-3.314,-1.668,0.537915818975307,0.46205612248000894
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '1', 'aq': '9'}",46.904296875,-3.834,-3.322,0.5367940589785576,-1.180292271476787
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'b:a': '269k'}",90.640625,-3.765,-2.919,0.7193944500177167,-0.9756818554460163
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '0', 'b:a': '265k', 'abr': 'True'}",223.70703125,-3.768,-2.933,0.44805576201179065,-1.1793620151658717
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'b:a': '75k', 'abr': 'True'}",114.01953125,-3.759,-2.892,0.6947854649915826,-0.9886708234734299
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '64k'}",89.328125,-3.673,-2.54,0.7956750419980381,-0.6453126467878232
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '1', 'b:a': '265k', 'abr': 'True'}",220.68359375,-3.766,-2.926,0.6596973020059522,-1.183312576122436
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '194k', 'abr': 'True'}",266.75,-2.623,-0.74,0.7443880520004313,2.089632180532673
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'aq': '9'}",65.08203125,-3.818,-3.218,0.5765008900198154,-1.1421460055966464
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '243k', 'abr': 'True'}",65.6796875,-3.857,-3.5,0.6495265589910559,-1.3283240495213784
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",41.0703125,-3.85,-3.44,0.5914118159853388,-1.249523242898869
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'aq': '9'}",109.203125,-3.336,-1.708,0.5853783600323368,0.38616760143314716
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '186k', 'abr': 'True'}",258.96875,-3.178,-1.444,0.7326315159734804,0.5877191861212987
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",69.9560546875,-3.731,-2.762,0.5304651219921652,-0.7999670496030368
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '2', 'reservoir': '1', 'aq': '9'}",35.8671875,-3.85,-3.441,0.6076686999876983,-1.242737852163575
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'b:a': '169k', 'abr': 'True'}",228.224609375,-2.678,-0.8,0.47782357601681724,2.023734247869532
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '0', 'b:a': '166k', 'abr': 'True'}",142.42578125,-3.738,-2.794,0.8570376690186094,-0.966146581804375
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'b:a': '185k'}",268.390625,-3.178,-1.444,0.515232906996971,0.5887535929519745
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '1', 'b:a': '75k', 'abr': 'True'}",103.75390625,-3.759,-2.892,0.44247126003028825,-0.9536410571073809
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '1', 'b:a': '40k', 'abr': 'True'}",54.0390625,-3.687,-2.591,0.8115994279796723,-0.6388876646565216
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",103.8740234375,-3.314,-1.668,0.7093673839990515,0.44938364194690894
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '1', 'b:a': '208k'}",267.6279296875,-2.627,-0.744,0.6937145870178938,2.081395136423929
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",112.5185546875,-3.341,-1.719,0.7827286259853281,0.35117082759815793
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'b:a': '143k', 'abr': 'True'}",195.125,-3.239,-1.541,0.5127886989794206,0.5331159424897451
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'aq': '9'}",103.8486328125,-3.315,-1.67,0.7505063449789304,0.44342260274880063
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",51.1103515625,-3.834,-3.322,0.4850402540178038,-1.1831784508251397
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'b:a': '263k'}",90.640625,-3.765,-2.919,0.6469199319835752,-0.9703250544229036
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'aq': '9'}",35.8671875,-3.85,-3.441,0.5781355070066638,-1.240554968542299
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '0', 'b:a': '64k'}",89.328125,-3.648,-2.455,0.9096253440075088,-0.568672632193151
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '0', 'b:a': '109k', 'abr': 'True'}",89.65625,-3.858,-3.509,0.4863799929735251,-1.3596930311596325
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '1', 'aq': '9'}",49.765625,-3.768,-2.936,0.7348118799855001,-0.9239512178684538
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '1', 'b:a': '43k'}",56.6796875,-3.858,-3.51,0.4730878440022934,-1.306406494780374
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'aq': '9'}",49.765625,-3.769,-2.94,0.6693520940025337,-0.9227046674291884
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '207k', 'abr': 'True'}",220.68359375,-3.766,-2.924,0.4620240629592445,-1.1680710590852033
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'b:a': '32k'}",44.771484375,-3.303,-1.649,0.5901293579663616,0.5841277247119726
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '245k', 'abr': 'True'}",334.185546875,-2.595,-0.709,1.2723550020018592,2.0180215725203916
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'b:a': '270k'}",90.640625,-3.765,-2.919,0.6007242570049129,-0.9669105986155189
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '0', 'b:a': '133k', 'abr': 'True'}",195.1015625,-3.601,-2.31,0.9290724330057856,-0.583640405776919
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '1', 'b:a': '161k', 'abr': 'True'}",199.7890625,-3.659,-2.49,0.897969990997808,-0.7807401203435792
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'aq': '9'}",109.203125,-3.336,-1.708,1.0354817200277466,0.35289916164588253
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '32k', 'abr': 'True'}",49.296875,-3.353,-1.741,1.1307796129840426,0.3914266312140573
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '1', 'b:a': '75k', 'abr': 'True'}",89.515625,-3.858,-3.51,0.5234091960010119,-1.3625210346140815
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '0', 'aq': '9'}",75.0888671875,-3.731,-2.763,0.6547823110013269,-0.8176613978738455
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'b:a': '38k', 'abr': 'True'}",56.703125,-3.48,-2.002,1.1526917530281935,-0.0002475992844810093
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '0', 'b:a': '75k', 'abr': 'True'}",109.23828125,-3.807,-3.147,0.7257508710026741,-1.175609205020748
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '1', 'aq': '9'}",49.765625,-3.769,-2.94,0.5889405430061743,-0.916761217367962
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '195k', 'abr': 'True'}",268.076171875,-2.618,-0.735,0.941349613975035,2.0861850381248366
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '0', 'b:a': '108k'}",90.359375,-3.74,-2.803,0.7217415180348326,-0.8805649320492982
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",52.037109375,-3.834,-3.322,0.6395441579807084,-1.1960770754046095
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '80k'}",111.8125,-3.734,-2.777,0.791056597023271,-0.8977386564420803
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",72.03125,-3.735,-2.784,0.6316715209686663,-0.8270186590064909
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '46k', 'abr': 'True'}",62.8251953125,-3.712,-2.685,0.9691572559531778,-0.7524544764262069
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '195k'}",267.6279296875,-2.616,-0.732,0.9230098640255164,2.0938620771250624
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '1', 'b:a': '256k'}",91.484375,-3.858,-3.511,0.5074256960360799,-1.364796571055839
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '194k', 'abr': 'True'}",266.75,-2.623,-0.74,0.5940178590244614,2.100746475948889
