params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '32k'}",19.91796875,-3.754,-2.869,0.6879520709917415,-0.8191059822233492
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",34.14453125,-3.912,-4.104,0.5296426579880062,-1.587827011025859
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '1', 'b:a': '119k', 'abr': 'True'}",73.58984375,-3.887,-3.784,0.49068554502446204,-1.4886939307177534
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'b:a': '242k'}",99.88671875,-2.81,-0.952,0.43328966497210786,1.8763086351622262
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '1', 'b:a': '73k', 'abr': 'True'}",49.1337890625,-3.907,-4.041,0.5966542940004729,-1.5851742939224174
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '1', 'b:a': '119k', 'abr': 'True'}",74.001953125,-3.907,-4.031,1.2429871090280358,-1.6694732848425415
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",60.6875,-3.282,-1.612,1.0765636440191884,0.583377994081519
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '32k'}",19.91796875,-3.754,-2.869,0.5421136280056089,-0.8083266415421286
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",34.14453125,-3.912,-4.104,0.5253949940088205,-1.5875130539086992
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '108k', 'abr': 'True'}",73.94140625,-3.815,-3.196,0.9323816820106003,-1.1686568757868954
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '1', 'b:a': '32k'}",20.01171875,-3.885,-3.771,0.5787674190360121,-1.400950763740351
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '0', 'b:a': '242k'}",99.88671875,-2.842,-0.989,0.5700224229949526,1.779972350062458
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'b:a': '119k', 'abr': 'True'}",73.77734375,-3.789,-3.041,0.588922338996781,-1.0335345776201132
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",34.14453125,-3.912,-4.104,0.7093015840218868,-1.6011061213241329
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",60.7578125,-3.248,-1.555,1.071976330014877,0.6808038762904562
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",60.6875,-3.282,-1.612,0.8728252629807685,0.5984368864701486
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",60.7578125,-3.248,-1.555,0.7045507979928516,0.7079613589373379
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",34.14453125,-3.912,-4.104,0.510147856984986,-1.5863860939588539
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '107k'}",69.93359375,-2.956,-1.132,0.48894003001623787,1.5230370595880227
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",34.14453125,-3.912,-4.104,0.5343521589820739,-1.5881751038511398
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '32k'}",20.046875,-3.879,-3.702,0.5644815969862975,-1.3642046977393558
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",60.6875,-3.282,-1.612,0.6519397039955948,0.6147631763228826
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'b:a': '242k'}",99.88671875,-2.81,-0.952,0.3730380879715085,1.8807620032987196
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",34.14453125,-3.912,-4.104,0.5172682480188087,-1.5869123826325775
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '32k'}",19.91796875,-3.754,-2.869,0.4655787139781751,-0.8026697249197531
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '112k', 'abr': 'True'}",77.83203125,-3.803,-3.124,0.8045902160229161,-1.1147473124794613
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '32k'}",19.91796875,-3.712,-2.687,0.6494475350191351,-0.6609891812302001
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'b:a': '242k'}",99.5322265625,-3.906,-4.023,0.4072339670092333,-1.6435845040725556
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'b:a': '242k'}",99.5322265625,-3.906,-4.023,0.4288225239724852,-1.645180176691914
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '107k', 'abr': 'True'}",60.7578125,-3.248,-1.555,0.7110860469983891,0.707478319801532
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'b:a': '233k'}",99.88671875,-3.001,-1.191,0.753700620989548,1.3322134491428823
