params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '5', 'reservoir': '0', 'aq': '9'}",26.76171875,-3.912,-4.107,1.0229916099924594,-1.6134577400810097
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'b:a': '266k'}",99.88671875,-2.814,-0.956,0.46357990798424,1.8634882108032853
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '271k', 'abr': 'True'}",78.947265625,-3.906,-4.027,0.7269875739875715,-1.6356335570265133
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '239k', 'abr': 'True'}",85.12109375,-2.864,-1.017,0.47766361403046176,1.7502683738417664
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'aq': '9'}",45.25390625,-3.846,-3.41,0.3937959849718027,-1.2228089947497733
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '1', 'b:a': '311k'}",41.10546875,-3.91,-4.083,0.41650471498724073,-1.579287478129737
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '0', 'aq': '9'}",30.0458984375,-3.912,-4.109,0.4553641240054276,-1.5773741186963084
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",56.892578125,-3.891,-3.831,0.5135688310256228,-1.4878883612469909
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '0', 'b:a': '215k'}",99.41796875,-3.886,-3.776,0.8374254640075378,-1.550681899771779
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'b:a': '206k', 'abr': 'True'}",41.45703125,-3.912,-4.104,0.637367155024549,-1.6074575372833837
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '0', 'b:a': '114k', 'abr': 'True'}",39.98046875,-3.91,-4.084,0.44034800300141796,-1.5795701401606173
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '1', 'b:a': '317k', 'abr': 'True'}",188.01171875,-3.734,-2.779,0.6515136189991608,-1.0096439450487473
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '0', 'aq': '9'}",31.30859375,-3.911,-4.093,0.4670159560046159,-1.5728729051127164
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '183k', 'abr': 'True'}",40.361328125,-3.912,-4.108,0.8852708850172348,-1.6252942771536896
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '1', 'b:a': '77k'}",41.24609375,-3.912,-4.104,0.47258877800777555,-1.5949417058531103
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '0', 'b:a': '310k'}",41.10546875,-3.91,-4.084,0.4933573960151989,-1.5852833402376079
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '0', 'b:a': '300k'}",41.94921875,-3.912,-4.104,0.5024925759935286,-1.5982739336380862
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",45.8486328125,-3.37,-1.772,0.49528189800912514,0.39451218754669815
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",48.58203125,-3.799,-3.1,0.5056086170079652,-1.0290847757559152
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'b:a': '47k'}",29.78515625,-3.905,-4.009,0.4945285849971697,-1.5319974143834985
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",31.07421875,-3.911,-4.092,0.45999830396613106,-1.5716647678742415
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '1', 'aq': '9'}",45.01953125,-3.799,-3.1,0.45310175797203556,-1.0195192869367569
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",45.25390625,-3.845,-3.402,0.4114056129765231,-1.2192569681294372
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",31.07421875,-3.911,-4.092,0.3932696940319147,-1.5667326635200172
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '32k'}",19.91796875,-3.77,-2.943,0.4468487389967777,-0.8619082659704717
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '1', 'aq': '9'}",41.984375,-3.844,-3.401,0.39734626599238254,-1.210355329629338
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '0', 'b:a': '175k'}",99.5322265625,-3.906,-4.019,0.4705434239876922,-1.6470020553195721
