params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '1', 'b:a': '223k'}",99.5322265625,-3.906,-4.026,0.8685842780105304,-1.6786306137287992
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '0', 'aq': '9'}",48.95703125,-3.799,-3.1,0.3254564560193103,-1.0163675832648214
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'b:a': '264k'}",99.41796875,-3.885,-3.769,0.32576427099411376,-1.5083253959957441
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'aq': '9'}",24.37109375,-3.912,-4.107,0.30223168997326866,-1.556369656252678
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '0', 'b:a': '32k'}",19.9404296875,-3.424,-1.879,0.4916373570158612,0.2765516759586155
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",24.08984375,-3.912,-4.107,0.29225571802817285,-1.5551835226725699
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",46.94140625,-3.584,-2.262,0.3228139029815793,-0.2476652218225227
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'aq': '9'}",24.37109375,-3.912,-4.107,0.5310445929935668,-1.573281879006931
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '0', 'aq': '9'}",48.95703125,-3.799,-3.1,0.45250797798507847,-1.02575832833378
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '319k'}",41.94921875,-3.912,-4.105,0.3143203289946541,-1.5846810375987737
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'aq': '9'}",24.37109375,-3.912,-4.107,0.29820808698423207,-1.5560722601306631
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '1', 'b:a': '313k'}",41.94921875,-3.912,-4.105,0.27043345698621124,-1.58143723208957
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",46.94140625,-3.584,-2.262,0.31035522298770957,-0.24674436478824266
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'aq': '4'}",32.66796875,-3.912,-4.106,0.30354339600307867,-1.5693901796158394
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '0', 'b:a': '32k'}",20.57421875,-3.912,-4.102,0.41172845198889263,-1.5568270471961192
