params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'sample_rate': 48000, 'sample_format': 's16p', 'compression_level': 5, 'reservoir': True, 'encoding_mode': 'Bitrate: 32k (CBR)'}",-0.5640024161617311,-0.8608351429183864,-0.8122517736649011,-0.17734978680440378,-0.813641977596771
"{'sample_rate': 48000, 'sample_format': 's32p', 'compression_level': 5, 'reservoir': True, 'encoding_mode': 'Bitrate: 32k (CBR)'}",-0.5640024161617311,-0.8934542726400059,-0.8816526235098536,-0.2808117128324932,-0.8619082659704717
"{'sample_rate': 22050, 'sample_format': 's16p', 'compression_level': 6, 'reservoir': False, 'encoding_mode': 'Bitrate: 32k (CBR)'}",-0.5636876463856727,-1.1986761293208692,-1.9447474597711667,-0.3324846734481853,-1.4836323103869735
"{'sample_rate': 16000, 'sample_format': 's32p', 'compression_level': 8, 'reservoir': True, 'encoding_mode': 'Bitrate: 32k (CBR)'}",-0.5635910338801497,-1.1846965022973186,-1.8648313296466765,-0.30087115802033004,-1.4473068263502302
"{'sample_rate': 16000, 'sample_format': 'fltp', 'compression_level': 8, 'reservoir': False, 'encoding_mode': 'Bitrate: 32k (CBR)'}",-0.5635910338801497,-1.187026440134577,-1.8742950818982607,-0.3555716718844476,-1.449740864169758
"{'sample_rate': 8000, 'sample_format': 'fltp', 'compression_level': 8, 'reservoir': True, 'encoding_mode': 'Quality: 9 (VBR-aq)'}",-0.5567471286502068,-1.224305445530713,-2.1066827760760547,-0.3640372964100859,-1.5597348492079217
"{'sample_rate': 8000, 'sample_format': 's16p', 'compression_level': 4, 'reservoir': False, 'encoding_mode': 'Quality: 9 (VBR-aq)'}",-0.5428349278549129,-1.224305445530713,-2.1056312480481014,-0.3879259821748718,-1.5651810569089433
"{'sample_rate': 12000, 'sample_format': 's16p', 'compression_level': 8, 'reservoir': True, 'encoding_mode': 'Quality: 9 (VBR-aq)'}",-0.5283991496103337,-1.2219755076934546,-2.0898583276287934,-0.39027238381190227,-1.5652198119863305
"{'sample_rate': 22050, 'sample_format': 'fltp', 'compression_level': 7, 'reservoir': True, 'encoding_mode': 'Bitrate: 49k (ABR True)'}",-0.5246593106868677,-1.068199610434394,-1.3706131565083803,-0.3599909796395763,-1.1990543530614954
"{'sample_rate': 16000, 'sample_format': 'fltp', 'compression_level': 8, 'reservoir': False, 'encoding_mode': 'Bitrate: 50k (ABR True)'}",-0.5097373533822378,-0.7979268213124076,-0.6850168822824888,-0.2831722539666198,-0.7344045966077043
"{'sample_rate': 16000, 'sample_format': 's32p', 'compression_level': 8, 'reservoir': True, 'encoding_mode': 'Quality: 9 (VBR-aq)'}",-0.5016593013075511,-0.2806806214410202,0.041588985033601464,-0.36072397375041687,0.0006619234103566497
"{'sample_rate': 12000, 'sample_format': 'fltp', 'compression_level': 7, 'reservoir': True, 'encoding_mode': 'Bitrate: 311k (CBR)'}",-0.49638612842546387,-1.2196455698561965,-2.08039457537721,-0.385255181323559,-1.5763081191904496
"{'sample_rate': 22050, 'sample_format': 's16p', 'compression_level': 7, 'reservoir': True, 'encoding_mode': 'Quality: 9 (VBR-aq)'}",-0.49311688589986724,0.029201110914360583,0.3412744730004404,-0.31051456380433856,0.3936676239546432
"{'sample_rate': 22050, 'sample_format': 'fltp', 'compression_level': 8, 'reservoir': True, 'encoding_mode': 'Quality: 9 (VBR-aq)'}",-0.49303585605652545,0.0385208622633946,0.349686697224071,-0.29047626659744524,0.40446861278875085
"{'sample_rate': 16000, 'sample_format': 's16p', 'compression_level': 8, 'reservoir': False, 'encoding_mode': 'Bitrate: 83k (CBR)'}",-0.4681129461640601,1.392214745710584,1.2382278808450498,-0.2838771598040673,2.0119334410363323
"{'sample_rate': 16000, 'sample_format': 'fltp', 'compression_level': 8, 'reservoir': False, 'encoding_mode': 'Bitrate: 81k (CBR)'}",-0.4681129461640601,1.389884807873326,1.237176352817096,-0.35460652478465793,2.0128245130397175
"{'sample_rate': 16000, 'sample_format': 'fltp', 'compression_level': 7, 'reservoir': True, 'encoding_mode': 'Bitrate: 80k (ABR True)'}",-0.45218123235009444,1.4155141240831697,1.2508462171804957,-0.19217605753772907,2.026467408289252
